tahun;garis_kemiskinan;bps_nama_kabupaten_kota
2023;538693;Kabupaten Simeulue
2023;568691;Kabupaten Aceh Singkil
2023;494565;Kabupaten Aceh Selatan
2023;471301;Kabupaten Aceh Tenggara
2023;530934;Kabupaten Aceh Timur
2023;584863;Kabupaten Aceh Tengah
2023;616091;Kabupaten Aceh Barat
2023;564431;Kabupaten Aceh Besar
2023;579450;Kabupaten Pidie
2023;486667;Kabupaten Bireuen
2023;454361;Kabupaten Aceh Utara
2023;474127;Kabupaten Aceh Barat Daya
2023;514836;Kabupaten Gayo Lues
2023;555387;Kabupaten Aceh Tamiang
2023;594374;Kabupaten Nagan Raya
2023;515244;Kabupaten Aceh Jaya
2023;551868;Kabupaten Bener Meriah
2023;572452;Kabupaten Pidie Jaya
2023;814530;Kota Banda Aceh
2023;715446;Kota Sabang
2023;512319;Kota Langsa
2023;498431;Kota Lhokseumawe
2023;487777;Kota Subulussalam
2022;493303;Kabupaten Simeulue
2022;518951;Kabupaten Aceh Singkil
2022;446224;Kabupaten Aceh Selatan
2022;430825;Kabupaten Aceh Tenggara
2022;491550;Kabupaten Aceh Timur
2022;533810;Kabupaten Aceh Tengah
2022;558638;Kabupaten Aceh Barat
2022;519320;Kabupaten Aceh Besar
2022;535713;Kabupaten Pidie
2022;451163;Kabupaten Bireuen
2022;420615;Kabupaten Aceh Utara
2022;430297;Kabupaten Aceh Barat Daya
2022;470221;Kabupaten Gayo Lues
2022;508599;Kabupaten Aceh Tamiang
2022;544300;Kabupaten Nagan Raya
2022;468854;Kabupaten Aceh Jaya
2022;512111;Kabupaten Bener Meriah
2022;523239;Kabupaten Pidie Jaya
2022;737016;Kota Banda Aceh
2022;660573;Kota Sabang
2022;469348;Kota Langsa
2022;460583;Kota Lhokseumawe
2022;444818;Kota Subulussalam
2021;458896;Kabupaten Simeulue
2021;487249;Kabupaten Aceh Singkil
2021;418689;Kabupaten Aceh Selatan
2021;404725;Kabupaten Aceh Tenggara
2021;460422;Kabupaten Aceh Timur
2021;505933;Kabupaten Aceh Tengah
2021;533712;Kabupaten Aceh Barat
2021;489498;Kabupaten Aceh Besar
2021;504452;Kabupaten Pidie
2021;422685;Kabupaten Bireuen
2021;392412;Kabupaten Aceh Utara
2021;406157;Kabupaten Aceh Barat Daya
2021;438689;Kabupaten Gayo Lues
2021;479801;Kabupaten Aceh Tamiang
2021;508801;Kabupaten Nagan Raya
2021;441706;Kabupaten Aceh Jaya
2021;476074;Kabupaten Bener Meriah
2021;495254;Kabupaten Pidie Jaya
2021;698617;Kota Banda Aceh
2021;620373;Kota Sabang
2021;435438;Kota Langsa
2021;427045;Kota Lhokseumawe
2021;418643;Kota Subulussalam
2020;444754;Kabupaten Simeulue
2020;473983;Kabupaten Aceh Singkil
2020;405786;Kabupaten Aceh Selatan
2020;392493;Kabupaten Aceh Tenggara
2020;440455;Kabupaten Aceh Timur
2020;492227;Kabupaten Aceh Tengah
2020;517264;Kabupaten Aceh Barat
2020;477938;Kabupaten Aceh Besar
2020;493145;Kabupaten Pidie
2020;410203;Kabupaten Bireuen
2020;375394;Kabupaten Aceh Utara
2020;393640;Kabupaten Aceh Barat Daya
2020;425529;Kabupaten Gayo Lues
2020;459387;Kabupaten Aceh Tamiang
2020;493121;Kabupaten Nagan Raya
2020;428094;Kabupaten Aceh Jaya
2020;457916;Kabupaten Bener Meriah
2020;481308;Kabupaten Pidie Jaya
2020;674977;Kota Banda Aceh
2020;599381;Kota Sabang
2020;407421;Kota Langsa
2020;401158;Kota Lhokseumawe
2020;400517;Kota Subulussalam
2019;404739;Kabupaten Simeulue
2019;450217;Kabupaten Aceh Singkil
2019;369107;Kabupaten Aceh Selatan
2019;357015;Kabupaten Aceh Tenggara
2019;417715;Kabupaten Aceh Timur
2019;468577;Kabupaten Aceh Tengah
