tahun,periode_bulan,bps_kode_provinsi,bps_nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_jumlah_penduduk,satuan,persentase_jumlah_penduduk_miskin
2012,September,11,Aceh,1101,Kabupaten Simeulue,18.62,Ribu Jiwa,21.88
2012,September,11,Aceh,1102,Kabupaten Aceh Singkil,19.41,Ribu Jiwa,17.92
2012,September,11,Aceh,1103,Kabupaten Aceh Selatan,31.64,Ribu Jiwa,14.8
2012,September,11,Aceh,1104,Kabupaten Aceh Tenggara,29.46,Ribu Jiwa,15.63
2012,September,11,Aceh,1105,Kabupaten Aceh Timur,65.37,Ribu Jiwa,17.19
2012,September,11,Aceh,1106,Kabupaten Aceh Tengah,34.71,Ribu Jiwa,18.77
2012,September,11,Aceh,1107,Kabupaten Aceh Barat,41.62,Ribu Jiwa,22.76
2012,September,11,Aceh,1108,Kabupaten Aceh Besar,64.92,Ribu Jiwa,17.5
2012,September,11,Aceh,1109,Kabupaten Pidie,88.34,Ribu Jiwa,22.12
2012,September,11,Aceh,1110,Kabupaten Bireuen,74.79,Ribu Jiwa,18.21
2012,September,11,Aceh,1111,Kabupaten Aceh Utara,122.18,Ribu Jiwa,21.89
2012,September,11,Aceh,1112,Kabupaten Aceh Barat Daya,24.67,Ribu Jiwa,18.51
2012,September,11,Aceh,1113,Kabupaten Gayo Lues,18.64,Ribu Jiwa,22.3
2012,September,11,Aceh,1114,Kabupaten Aceh Tamiang,44.32,Ribu Jiwa,16.7
2012,September,11,Aceh,1115,Kabupaten Nagan Raya,32.77,Ribu Jiwa,22.27
2012,September,11,Aceh,1116,Kabupaten Aceh Jaya,14.83,Ribu Jiwa,18.3
2012,September,11,Aceh,1117,Kabupaten Bener Meriah,31.55,Ribu Jiwa,24.5
2012,September,11,Aceh,1118,Kabupaten Pidie Jaya,34.15,Ribu Jiwa,24.35
2012,September,11,Aceh,1171,Kota Banda Aceh,20.39,Ribu Jiwa,8.65
2012,September,11,Aceh,1172,Kota Sabang,6.55,Ribu Jiwa,20.51
2012,September,11,Aceh,1173,Kota Langsa,21.92,Ribu Jiwa,13.93
2012,September,11,Aceh,1174,Kota Lhokseumawe,23.54,Ribu Jiwa,13.06
2012,September,11,Aceh,1175,Kota Subulussalam,16.13,Ribu Jiwa,22.63
2013,September,11,Aceh,1101,Kabupaten Simeulue,17.8,Ribu Jiwa,20.57
2013,September,11,Aceh,1102,Kabupaten Aceh Singkil,20.72,Ribu Jiwa,18.73
2013,September,11,Aceh,1103,Kabupaten Aceh Selatan,29.3,Ribu Jiwa,13.44
